"Study_No"	"Study_ID"	"Arm_ID"	"Year"	"Drug"	"No_randomised"	"OverallEfficM"	"OverallEfficSD"	"OverallEfficN"	"PosM"	"PosSD"	"PosN"	"NegM"	"NegSD"	"NegN"	"DeprM"	"DeprSD"	"DeprN"	"QolM"	"QolSD"	"QolN"	"SocialFunctM"	"SocialFunctSD"	"SocialFunctN"	"WeightContM"	"WeightContSD"	"WeightContN"	"DefCritWeightGainDich"	"WeightDichN"	"ProlactinM"	"ProlactinSD"	"ProlactinN"	"ProlactinHyperDichN"	"QTcM"	"QTcSD"	"QTcN"	"QTcProlongN"	"NResponseMain"	"NReponseMainDef"	"NResponse50"	"NResponse20"	"DropoutInefficacy"	"DropoutTotal"	"SedationN"	"AntiParkinMedN"	"AkathisiaN"	"LibidoDecrAllN"	"LibidoIncrAllN"	"ErectileDysfunctionN"	"EjaculationDysfunctionN"	"AmenorrheaN"	"GalactorrhoeaN"	"TachykardiaN"	"BradykardiaN"	"ArrhythmiaN"	"ConstipationN"	"BlurredVisionN"	"UrinaryRetentionN"	"DryMouthN"	"HypotensionN"	"SeizuresN"	"LeukopeniaN"	"AgranulozytosisN"	"MaligNeuroSyndrN"	"PulmonaryEmbolismN"	"StrokeN"	"DeepVeinThrombosisN"	"DeathAllN"	"Randomisation"	"Allocation"	"BlindPersonalPatients"	"BlindOutcomeAssesment"	"MissingOutcomes"	"SelectiveReporting"	"OtherBias"	"MeanDose"	"DoseOlaEquivalent"	"Sponsor"	"Duration"	"DoseFixFlex"	"MeanAge"	"DurationIllYears"	"Diag_crit"	"NumberSites"	"ComplITT"	"Placebo"	"BaselineSeverity"	"No_male"	"Blinding_type"	"CalculatedSD"	"PlaceboChange"	"FailedStudy"	"CholinergicN"	"SexualSideEffN"	"RoBCategory"	"HighRoB"
"371"	989	"McQuade 2004_6weeks"	3227	2004	"Aripiprazole"	156	-28.21	20.489239021633	95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.3	6.58	95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57	"CGI at least much improved"	NA	NA	NA	61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	-1	1	-1	25.1	16.8456375838926	1	6	2	38.6	13.74	"DSM-IV"	56	2	0	94.8	114	2	13	NA	0	NA	NA	3	1
"372"	992	"Cutler 2008a"	3239	2008	"Placebo"	117	-12.5	20.489239021633	111	-4	6.32	111	-2.9	5.27	111	-1.7	3.16	111	NA	NA	NA	NA	NA	NA	-0.14	3.54	108	">=7% increase"	6	-6.55	16.14	92	NA	-1.79	24.757979667836	117	NA	23	"at least 30% PANSS reduction"	NA	NA	15	49	11	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	1	1	1	1	0	NA	0	6	1	42.5	18.3	"DSM-IV"	40	1	1	90.8	77	2	13	-12.5	1	9	NA	1	0
"373"	992	"Cutler 2008a"	76208	2008	"Quetiapine"	448	-14.9096535796767	20.489239021633	433	-4.53903002309469	6.25216043816817	433	-3.1445727482679	5.21081504264736	433	-2.39145496535797	3.13135262237622	433	NA	NA	NA	NA	NA	NA	0.901338028169014	5.14898445644239	426	">=7% increase"	41	-6.84376693766938	21.9994409736783	369	NA	1.2575	24.757979667836	447	NA	100	"at least 30% PANSS reduction"	NA	NA	36	183	82	33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32	NA	NA	81	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	1	1	1	1	651.339285714286	17.5861607142857	1	6	1	41.0732142857143	NA	"DSM-IV"	40	1	1	92.4390625	312	2	13	NA	1	81	NA	1	0
"374"	998	"Cantillon 2014"	3254	2014	"Aripiprazole"	20	82.37	22.13	19	23.47	7.88	19	19.47	5.16	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	1	7	1	NA	0	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	1	15	10.0671140939597	1	4	1	35	NA	"DSM-IV-TR"	16	1	1	91.68	18	2	1	NA	1	NA	NA	2	0
"375"	998	"Cantillon 2014"	3255	2014	"Placebo"	39	78.43	24.14	37	19.95	6.84	37	20.57	6.64	37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	8	11	0	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	1	0	NA	0	4	1	36	NA	"DSM-IV-TR"	16	1	1	89.84	27	2	1	-11.41	1	NA	NA	2	0
"376"	1010	"Downing 2014"	3278	2014	"Placebo"	295	-7.9	21.45854	253	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"\"weight increased\", reported as an AE"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	39	124	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	1	1	1	1	0	NA	0	6	1	39.8	14.5	"DSM-IV"	NA	1	1	84.3	181	2	2	-7.9	0	8	NA	1	0
"377"	1010	"Downing 2014"	3279	2014	"Risperidone"	143	-16.6	21.45854	124	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"\"weight increased\", reported as an AE"	NA	50.9	36.7063236773344	142	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	46	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	1	1	1	1	4	13.3333333333333	0	6	1	40.3	15.2	"DSM-IV"	NA	1	1	84	87	2	2	NA	0	5	NA	1	0
"378"	1020	"Haas 1982"	3306	1982	"Pimozide"	14	31.8486686889113	12.3762000170927	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	"very good or good clinical response"	NA	NA	0	2	NA	12	6	NA	NA	NA	NA	NA	NA	0	NA	NA	0	7	NA	5	0	0	NA	NA	NA	NA	NA	NA	NA	0	0	1	1	0	-1	1	20.36	50.9	0	4	2	39	NA	"ICD-9"	1	NA	0	123	NA	2	2	NA	0	7	NA	2	0
"379"	1020	"Haas 1982"	3305	1982	"Haloperidol"	15	35.3370407819346	12.3762000170927	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	"very good or good clinical response"	NA	NA	0	0	NA	6	3	NA	NA	NA	NA	NA	NA	0	NA	NA	1	7	NA	8	0	1	NA	NA	NA	NA	NA	NA	NA	0	0	1	1	0	-1	1	23.75	47.5	0	4	2	39	NA	"ICD-9"	1	NA	0	107	NA	2	2	NA	0	8	NA	2	0
"380"	1022	"Heikkilae 1992"	3309	1992	"Haloperidol"	23	10.3	7.9341	18	NA	NA	NA	NA	NA	NA	1	1.8	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	"CGI improvement markedly or moderately"	NA	NA	4	18	6	10	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	1	1	1	1	10.3	20.6	0	8	2	38	NA	"ICD-9"	4	1	0	96	9	2	1	NA	0	3	NA	1	0
"381"	1022	"Heikkilae 1992"	3380	1992	"Zuclopenthixol"	26	11.6	8.5329	20	NA	NA	NA	NA	NA	NA	1.9	2	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	"CGI improvement markedly or moderately"	NA	NA	4	20	21	8	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	7	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	1	1	1	1	33.5	13.4	0	8	2	35	NA	"ICD-9"	4	1	0	102	10	2	1	NA	0	7	NA	1	0
"382"	1027	"Jindal 2013"	3321	2013	"Aripiprazole"	30	-45.31	11.94	26	-12.27	4.06	26	-13.19	2.65	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"7% increase in body weight from the baseline"	2	NA	NA	NA	NA	NA	NA	NA	NA	15	"40% BPRS reduction"	NA	NA	NA	4	2	2	2	NA	NA	NA	NA	0	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	1	-1	1	1	12.5	8.38926174496644	0	6	2	NA	NA	"ICD-10"	1	2	0	107.96	19	2	1	NA	0	1	0	2	0
"383"	1027	"Jindal 2013"	3322	2013	"Olanzapine"	30	-40.93	5.4	27	-11.52	2.68	27	-11.85	2.01	27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"7% increase in body weight from the baseline"	6	NA	NA	NA	NA	NA	NA	NA	NA	17	"40% BPRS reduction"	NA	NA	NA	3	7	1	0	NA	NA	NA	NA	1	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	1	-1	1	1	11.01	11.01	0	6	2	NA	NA	"ICD-10"	1	2	0	99.59	15	2	1	NA	0	2	1	2	0
"384"	1033	"Kane 2015"	3340	2015	"Placebo"	184	-13.53	20.39	180	-4.95	6.84	180	-2.14	5.23	180	-2.93	3.14	180	NA	NA	NA	-8.52	13.01	180	0.35	3.61969389008628	184	"increase in body weight (?7%)"	7	-2.64	14.51	165	5	3.5	18	168	3	70	"Mean reduction from baseline in PANSS total score ?30%, or CGI-I score of 1 (very much improved) or 2 (much improved) at
week 6"	57	90	21	66	2	14	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	0	NA	0	6	1	39.3	13.7	"DSM-IV-TR"	64	1	1	94.8	111	2	1	-13.53	0	NA	NA	1	0
"385"	1033	"Kane 2015"	76209	2015	"Brexpiprazole"	370	-18.3144166666667	19.9919289462787	360	-6.03841666666667	6.7382642006306	360	-3.13625	5.17106869931696	360	-3.70044444444444	3.13102216575819	360	NA	NA	NA	-11.8221944444444	12.7458246721545	360	1.706	3.61969389008628	370	"increase in body weight (?7%)"	44	-1.26042857142857	9.64660257525404	350	7	1.21420454545455	17.513891319178	352	5	175	"Mean reduction from baseline in PANSS total score ?30%, or CGI-I score of 1 (very much improved) or 2 (much improved) at
week 6"	156	212	36	111	12	32	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	2.99459459459459	14.972972972973	1	6	1	37.7454054054054	NA	"DSM-IV-TR"	64	1	1	95.7032432432432	235	2	1	NA	0	NA	NA	1	0
"386"	1056	"Correll 2015"	3392	2015	"Placebo"	184	-12.01	21.3	178	-4.35	7.2	178	-2.24	5.1	178	-3.05	3.5	178	NA	NA	NA	-10.26	12.8	170	0.42	3.61969389008628	184	">=7%"	8	-2.95	20.49	168	4	0.9	18.5	170	NA	54	"40% PANSS improvement"	54	62	18	74	1	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	0	0	1	1	1	0	NA	0	6	1	39.7	12.3	"DSM-IV-TR"	65	1	1	95.9	118	2	1	-12.01	0	NA	NA	2	0
"387"	1056	"Correll 2015"	76210	2015	"Brexpiprazole"	362	-20.1930167597765	20.6584413699995	358	-6.67441340782123	6.90208187093693	358	-3.83603351955307	4.80356367000973	358	-3.55083798882682	3.40330711188026	358	NA	NA	NA	-12.9381524926686	12.1527375644773	341	1.36546961325967	3.61969389008628	362	">=7%"	32	-0.701617647058824	19.5427054324245	340	26	0.222448979591837	15.7762754256417	343	NA	163	"40% PANSS improvement"	163	190	24	117	4	NA	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	0	0	1	1	1	2.99447513812155	14.9723756906077	1	6	1	40.1966850828729	NA	"DSM-IV-TR"	65	1	1	95.4027624309392	222	2	1	NA	0	NA	NA	2	0
"388"	1069	"Tuason 1984"	3421	1984	"Chlorpromazine"	34	31.24	12.3762000170927	34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	4	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	8	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	1	0	1	1	570	18.81	0	4	2	35.5	NA	"Clinical Diagnosis"	1	NA	0	102	14	2	6	NA	0	1	NA	2	0
"389"	1069	"Tuason 1984"	3422	1984	"Loxapine"	34	33.47	12.3762000170927	34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	3	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	1	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	1	0	1	1	59	19.47	1	4	2	34.4	NA	"Clinical Diagnosis"	1	NA	0	94	18	2	6	NA	0	0	NA	2	0
"390"	1116	"Remvig 1987"	3525	1987	"Perphenazine"	18	6.235882244	6.517311609	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	0	1	1	1	30	20.1342281879195	NA	12	2	38	6	"Clinical Diagnosis"	NA	1	0	NA	7	2	NA	NA	0	NA	NA	2	0
"391"	1116	"Remvig 1987"	3526	1987	"Zuclopenthixol"	22	5.64339937	7.111645991	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	0	1	1	1	37	14.8	NA	12	2	38	12	"Clinical Diagnosis"	NA	1	0	NA	8	2	NA	NA	0	NA	NA	2	0
"392"	1131	"Moosavi 2015"	3562	2015	"Risperidone"	45	-32.3	4.07	45	-10.51	2.34	45	-3.56	1.39	45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	0	-1	1	1	5.6	18.6666666666667	0	4	2	34.3	NA	"DSM-IV-R"	1	2	0	91.67	37	2	1	NA	0	NA	NA	2	0
"393"	1131	"Moosavi 2015"	3561	2015	"Quetiapine"	45	-30.2	4.87	45	-10.58	2.3	45	-3.87	1.35	45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	0	-1	1	1	498	13.446	0	4	2	35.5	NA	"DSM-IV-R"	1	2	0	91.04	38	2	1	NA	0	NA	NA	2	0
"394"	1184	"Balasubramanian 1991"	3688	1991	"Chlorpromazine"	44	12.9	9.3	38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	73.7	14.6	38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	1	1	1	1	600	19.8	NA	10	2	35.6	NA	"Clinical Diagnosis"	NA	3	0	92	21	2	1	NA	0	NA	NA	1	0
"395"	1184	"Balasubramanian 1991"	3689	1991	"Zuclopenthixol"	50	13.1	11.7	45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	71.8	13	45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	1	1	1	1	75	30	NA	10	2	38.2	NA	"Clinical Diagnosis"	NA	3	0	82	27	2	1	NA	0	NA	NA	1	0
"396"	1187	"Brook 1998"	3694	1998	"Haloperidol"	20	-5.5	6.03	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	-1	1	1	10	20	0	4	1	28.8	NA	"Clinical Diagnosis"	1	NA	0	NA	20	2	2	NA	0	NA	NA	2	0
"397"	1187	"Brook 1998"	3695	1998	"Zuclopenthixol"	24	-6.04	6.03	24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	-1	1	1	25	10	1	4	1	32.3	NA	"Clinical Diagnosis"	1	NA	0	NA	22	2	2	NA	0	NA	NA	2	0
"398"	1191	"Chouinard 1982"	3702	1982	"Chlorpromazine"	20	30.3	11.81	20	NA	NA	NA	NA	NA	NA	1.7	3.7889217522752	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	16	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	1	1	-1	1	960	31.68	0	4	2	33	NA	"Research Diagnostic Criteria"	1	1	0	98	13	2	2	NA	0	10	NA	2	0
"399"	1191	"Chouinard 1982"	3703	1982	"Pimozide"	20	36.8	11.81	20	NA	NA	NA	NA	NA	NA	1.6	3.7889217522752	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	9	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	1	1	-1	1	37.8	94.5	0	4	2	36	NA	"Research Diagnostic Criteria"	1	1	0	101	13	2	2	NA	0	3	NA	2	0
"400"	1204	"O Brien 1974"	3730	1974	"Haloperidol"	15	-31.2	16.0904480490406	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	"marked response (global clinical outcome ratings)"	NA	NA	0	3	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	1	-1	-1	1	11.5	23	NA	3	2	30	NA	"Clinical Diagnosis"	2	2	0	108	12	2	5	NA	0	NA	NA	3	1
"401"	1204	"O Brien 1974"	3731	1974	"Trifluoperazine"	15	-21.2	16.0904480490406	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	"marked response (global clinical outcome ratings)"	NA	NA	0	3	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	1	-1	-1	1	28.5	28.5	NA	3	2	29	NA	"Clinical Diagnosis"	2	2	0	106	10	2	5	NA	0	NA	NA	3	1
"402"	1213	"Simpson 1976"	3748	1976	"Loxapine"	24	37.8	12.3762000170927	24	NA	NA	NA	NA	NA	NA	1.83	3.7889217522752	24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	2	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	1	0	1	1	73.8	24.354	0	4	2	34.8	NA	"Clinical Diagnosis"	1	NA	0	99	13	2	6	NA	0	2	NA	2	0
"403"	1213	"Simpson 1976"	3749	1976	"Trifluoperazine"	19	37.05	12.3762000170927	19	NA	NA	NA	NA	NA	NA	1.47	3.7889217522752	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	1	0	1	1	35.25	35.25	0	4	2	27.7	NA	"Clinical Diagnosis"	1	NA	0	91	14	2	6	NA	0	NA	NA	2	0
"404"	1239	"Brauzer 1971"	3803	1971	"Molindone"	12	32.5	12.3762000170927	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	1	-1	1	1	25	5	NA	12	2	40	NA	"Clinical Diagnosis"	1	NA	0	67	6	2	6	NA	0	NA	NA	2	0
"405"	1239	"Brauzer 1971"	3804	1971	"Trifluoperazine"	13	29.6	12.3762000170927	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	1	-1	1	1	13	13	0	12	2	42	NA	"Clinical Diagnosis"	1	NA	0	64	5	2	6	NA	0	NA	NA	2	0
"406"	1243	"Bueno 1979"	3811	1979	"Haloperidol"	20	24.37	11.3430620742468	19	NA	NA	NA	NA	NA	NA	2.58	3.7889217522752	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	1	0	-1	1	5.4	10.8	0	6	2	29.21	4.26	"Clinical Diagnosis"	NA	NA	0	99	14	2	8	NA	0	NA	NA	2	0
"407"	1243	"Bueno 1979"	3812	1979	"Loxapine"	20	33.06	11.3430620742468	19	NA	NA	NA	NA	NA	NA	3.47	3.7889217522752	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	1	0	-1	1	58.3	19.239	1	6	2	28.42	4.42	"Clinical Diagnosis"	NA	NA	0	102	13	2	8	NA	0	NA	NA	2	0
"408"	1245	"Carranza 1974"	3815	1974	"Sulpiride"	20	11	8.25554745065402	16	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	-1	1	1	900	22.5	NA	8	2	NA	NA	"Clinical Diagnosis"	1	2	0	126	NA	2	12	NA	0	NA	NA	2	0
"409"	1245	"Carranza 1974"	3816	1974	"Thioridazine"	20	6	8.25554745065402	18	NA	NA	NA	NA	NA	NA	NA	NA	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	-1	1	1	600	24	NA	8	2	NA	NA	"Clinical Diagnosis"	1	2	0	122	NA	2	12	NA	0	NA	NA	2	0
"410"	1260	"Dube 1976"	3845	1976	"Chlorpromazine"	26	18.88	12.3762000170927	26	NA	NA	NA	NA	NA	NA	1	3.7889217522752	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	"at least much improved (CGI)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	1	-1	1	1	320	10.56	NA	12	2	36	NA	"Clinical Diagnosis"	1	NA	0	80	26	2	6	NA	0	NA	NA	2	0
"411"	1260	"Dube 1976"	3846	1976	"Loxapine"	26	19.81	12.3762000170927	26	NA	NA	NA	NA	NA	NA	1.12	3.7889217522752	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	"at least much improved (CGI)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	1	-1	1	1	34.3	11.319	NA	12	2	29.9	NA	"Clinical Diagnosis"	1	NA	0	84	26	2	6	NA	0	NA	NA	2	0
